nb_bit	taps	seed	TF coverage	num of test patterns	weights	freq of zeros
13	13, 12, 10, 9	[1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0][0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0]	55.7273%	1000	0.5, 0.25	0.8, 0.2	0.500113
13	13, 12, 10, 9	[1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]	54.7435%	1000	0.5, 0.25	0.5	0.539082
13	13, 12, 10, 9	[1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]	55.8679%	1000	0.5, 0.25	0.8, 0.2	0.515617
13	13, 12, 10, 9	[1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0][0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0]	56.4301%	1000	0.5, 0.75	0.5	0.500322
13	13, 12, 10, 9	[1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0][0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 1]	56.9220%	1000	0.5, 0.75	0.9, 0.1	0.523358
13	13, 12, 10, 9	[1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]	55.7273%	1000	0.5, 0.75	0.5	0.612918
13	13, 12, 10, 9	[1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]	56.8166%	1000	0.5, 0.75	0.9, 0.1	0.524496
13	13, 12, 10, 9	[1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0][0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1]	56.4301%	1000	0.5, 0.125	0.5	0.500322
13	13, 12, 10, 9	[1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0][0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 1]	56.3949%	1000	0.5, 0.125	0.9, 0.1	0.478444
13	13, 12, 10, 9	[1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]	54.0759%	1000	0.5, 0.125	0.5	0.328482
13	13, 12, 10, 9	[1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]	56.2193%	1000	0.5, 0.125	0.9, 0.1	0.465687
13	13, 12, 10, 9	[1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0][1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0][0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1]	56.4301%	1000	0.25, 0.5, 0.75	0.3333333333333333	0.500322
13	13, 12, 10, 9	[1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0][1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0][0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1]	56.3598%	1000	0.25, 0.5, 0.75	0.1, 0.8, 0.1	0.529479
13	13, 12, 10, 9	[1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]	54.3219%	1000	0.25, 0.5, 0.75	0.3333333333333333	0.602814
13	13, 12, 10, 9	[1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]	56.5004%	1000	0.25, 0.5, 0.75	0.1, 0.8, 0.1	0.532116
13	13, 12, 10, 9	[0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0][1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1][1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0][1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1]	56.4301%	1000	0.125, 0.25, 0.5, 0.75	0.25	0.500322
13	13, 12, 10, 9	[0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0][0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1][1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0][1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1]	56.3949%	1000	0.125, 0.25, 0.5, 0.75	0.1, 0.1, 0.7, 0.1	0.493805
13	13, 12, 10, 9	[1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]	53.1975%	1000	0.125, 0.25, 0.5, 0.75	0.25	0.492915
13	13, 12, 10, 9	[1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]	56.5004%	1000	0.125, 0.25, 0.5, 0.75	0.1, 0.1, 0.7, 0.1	0.495426
13	13, 12, 10, 9	[1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0][0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 1, 0]	56.4301%	2000	0.5, 0.25	0.5	0.500322
13	13, 12, 10, 9	[1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0][0, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1]	57.6950%	2000	0.5, 0.25	0.8, 0.2	0.487189
13	13, 12, 10, 9	[1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]	56.8869%	2000	0.5, 0.25	0.5	0.538777
13	13, 12, 10, 9	[1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]	57.4139%	2000	0.5, 0.25	0.8, 0.2	0.515671
13	13, 12, 10, 9	[1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0][1, 0, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 1]	56.4301%	2000	0.5, 0.75	0.5	0.500322
13	13, 12, 10, 9	[1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0][1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0, 1]	57.8004%	2000	0.5, 0.75	0.9, 0.1	0.523278
13	13, 12, 10, 9	[1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]	57.7653%	2000	0.5, 0.75	0.5	0.618764
13	13, 12, 10, 9	[1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]	57.7653%	2000	0.5, 0.75	0.9, 0.1	0.523465
13	13, 12, 10, 9	[1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0][1, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1]	56.4301%	2000	0.5, 0.125	0.5	0.500322
